Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Canada,Soybeans,2000,25483,537.0,39667.0,7.63
Turkey,Wheat,1991,21288,593.0,24343.0,13.21
India,"Rice, paddy",1995,26972,1083.0,61257.0,25.92
Pakistan,Soybeans,1993,5681,494.0,4945.0,27.25
Honduras,Maize,1999,12249,1976.0,2387.0,24.41
India,Potatoes,1999,175712,1083.0,46195.0,27.21
Madagascar,Sweet potatoes,1992,53107,1513.0,101.06,19.76
Indonesia,Maize,1993,21975,2702.0,1597.0,26.88
Morocco,"Rice, paddy",1992,30694,346.0,10178.29,17.38
Norway,Potatoes,2008,278193,1414.0,800.9,4.16
Iraq,Potatoes,2001,163947,216.0,837.47,20.8
Egypt,Sweet potatoes,1991,270456,51.0,8255.0,21.65
South Africa,Maize,2007,27921,495.0,26857.0,18.98
India,Sorghum,2011,9487,1083.0,55540.0,27.41
Papua New Guinea,Potatoes,2005,45000,3142.0,105.0,25.51
New Zealand,Sweet potatoes,1991,152381,1732.0,3490.0,12.82
Ecuador,Cassava,2006,34279,2274.0,7953.42,17.6
India,Maize,2013,25726,1083.0,45620.0,27.1
Japan,Maize,1994,24852,1668.0,79821.18,16.07
India,Sweet potatoes,1991,83453,1083.0,72133.0,25.06
Mexico,Sorghum,2007,34947,758.0,64501.28,22.18
Ecuador,Cassava,1998,49242,2274.0,21500.0,18.12
India,Cassava,1999,239523,1083.0,46195.0,26.86
Italy,Soybeans,1999,35329,832.0,81583.0,7.64
India,Wheat,1992,23940,1083.0,70791.0,25.52
Suriname,"Rice, paddy",2012,43622,2331.0,633.92,27.4
Saudi Arabia,Sorghum,1996,11513,59.0,994.0,26.37
India,Wheat,2004,27132,1083.0,35113.0,24.85
Pakistan,Sorghum,2006,6156,494.0,6925.13,27.29
South Africa,Soybeans,1996,11765,495.0,19508.0,15.23
Lebanon,Wheat,2011,29667,661.0,1816.0,19.67
Malawi,"Rice, paddy",2009,21259,1181.0,736.25,20.68
Haiti,Sorghum,1998,7400,1440.0,23.78,27.57
Brazil,"Rice, paddy",1999,30708,1761.0,127585.0,17.66
Romania,Soybeans,2012,13388,637.0,6418.7,12.33
Nicaragua,Maize,2009,15605,2280.0,9387.95,27.23
Mexico,Cassava,2004,141677,758.0,26433.14,21.24
India,Wheat,2001,27081,1083.0,43720.04,26.02
Niger,Maize,2005,8255,151.0,24.75,30.02
Pakistan,"Rice, paddy",1996,28685,494.0,11955.0,24.43
Brazil,Cassava,2004,136343,1761.0,214725.0,25.94
Pakistan,Sweet potatoes,2000,109771,494.0,27885.0,23.6
Lesotho,Sorghum,2013,3051,788.0,62.32,14.03
Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22
Burundi,Wheat,2007,8407,1274.0,412.66,21.28
Indonesia,Cassava,1991,120946,2702.0,3259.0,27.04
Nicaragua,Potatoes,2007,137500,2280.0,9850.26,27.23
Pakistan,Sweet potatoes,1998,108413,494.0,18406.0,23.11
Turkey,Potatoes,2009,305986,593.0,37651.15,11.63
Colombia,"Rice, paddy",2005,48388,3240.0,117881.45,27.56
